debug_size,debug_RVA,image_version,os_version,export_RVA,export_size,IATRVA,res_size,linker_version,number_of_sections,stack_reserve_size,dll,address_of_entrypoint,image_base,legitimate
0,0,0,4,0,0,0,0,5,3,1048576,0,4096,142606336,1
0,0,0,4,0,0,0,1504,11,3,4194304,34112,0,5368709120,1
0,0,0,4,0,0,0,1504,11,3,4194304,34112,0,5368709120,1 
0,0,0,4,0,0,0,1512,8,3,4194304,34112,0,4194304,1
0,0,0,4,0,0,0,1512,8,3,4194304,34112,0,4194304,1 
0,0,0,4,0,0,0,156,6,3,1048576,0,129744,4194304,1
0,0,0,4,0,0,0,163500,2,8,1048576,0,361688,4194304,1
0,0,0,4,0,0,0,202776,8,4,1048576,1536,83152,4194304,1
0,0,0,4,0,0,0,202776,8,4,1048576,1536,83152,4194304,1 
0,0,0,4,0,0,0,232,8,3,1048576,1536,75280,4194304,1
0,0,0,4,0,0,0,232,8,3,1048576,1536,75280,4194304,1 
0,0,0,4,0,0,0,33908,2,10,1048576,0,794730,4194304,1
0,0,0,4,0,0,0,371784,6,3,1048576,34112,0,4194304,1
0,0,0,4,0,0,0,5120,2,8,1048576,0,32996,4194304,1
0,0,0,4,0,0,0,5120,2,8,1048576,0,32996,4194304,1 
0,0,0,4,0,0,0,552,8,4,1048576,1536,42288,4194304,1
0,0,0,4,0,0,168460,0,2,17,2097152,352,5376,4194304,1
0,0,0,4,0,0,168460,0,2,17,2097152,352,5376,4194304,1 
0,0,0,4,0,0,24576,467844,6,4,1048576,0,21247,4194304,1
0,0,0,4,0,0,24576,467844,6,4,1048576,0,21247,4194304,1 
0,0,0,4,0,0,24576,87868,7,4,1048576,0,5467,4194304,1
0,0,0,4,0,0,24576,87868,7,4,1048576,0,5467,4194304,1 
0,0,0,4,0,0,28672,0,6,3,1048576,0,10124,4194304,1
0,0,0,4,0,0,32784,2400,5,4,1048576,0,16896,4194304,1
0,0,0,4,0,0,32784,2400,5,4,1048576,0,16896,4194304,1 
